Term,NumPostings
Python,37.6589215256
R,36.5629110039
SQL,29.4169224025
Hadoop,27.0495396756
Java,24.8575186322
Matlab,18.6760192898
Spark,13.1521262604
SAS,12.8014028935
Hive,12.7137220517
C++,11.7492327926
Pig,11.4861902674
HBase,8.32967996493
MapReduce,7.97895659798
JavaScript,6.92678649715
NoSQL,6.35686102587
MongoDB,6.22533976326
Perl,4.91012713722
Excel,4.64708461201
Tableau,3.68259535292
Mahout,3.59491451118
Scala,3.24419114423
SPSS,2.98114861903
Ruby,2.36738272687
D3.js,1.57825515125
Cassandra,1.22753178431
D3,0.613765892153
Shark,0.175361683472
Flume,0.175361683472
Oozie,0.131521262604
