Term,NumPostings
SQL,45.2095808383
Hadoop,17.9640718563
Java,17.2155688623
Tableau,16.0928143713
Spark,10.1796407186
NoSQL,10.0299401198
Python,9.13173652695
Hive,8.53293413174
R,7.85928143713
JavaScript,7.78443113772
SAS,6.58682634731
HBase,6.0628742515
Pig,5.61377245509
Excel,4.94011976048
Cassandra,4.71556886228
MongoDB,3.89221556886
MapReduce,3.81736526946
Scala,2.99401197605
Perl,2.69461077844
Flume,2.54491017964
C++,1.42215568862
Ruby,1.27245508982
Oozie,1.12275449102
ZooKeeper,0.898203592814
SPSS,0.59880239521
Mahout,0.523952095808
Matlab,0.299401197605
Shark,0.224550898204
