Term,NumPostings
Python,50.0
R,46.1538461538
SQL,33.3333333333
Java,17.9487179487
Hadoop,17.9487179487
SAS,16.6666666667
JavaScript,16.6666666667
Tableau,16.6666666667
Matlab,15.3846153846
SPSS,14.1025641026
C++,10.2564102564
Hive,7.69230769231
Spark,6.41025641026
NoSQL,5.12820512821
Perl,5.12820512821
Excel,5.12820512821
D3,5.12820512821
Ruby,3.84615384615
Pig,3.84615384615
D3.js,2.5641025641
MapReduce,2.5641025641
Scala,2.5641025641
Oozie,1.28205128205
Flume,1.28205128205
Mahout,1.28205128205
HBase,1.28205128205
Shark,1.28205128205
MongoDB,1.28205128205
