Term,NumPostings
SQL,60.4651162791
Excel,53.488372093
SAS,16.2790697674
Java,9.3023255814
Python,4.6511627907
JavaScript,4.6511627907
MongoDB,2.32558139535
Hadoop,2.32558139535
C++,2.32558139535
Spark,2.32558139535
Cassandra,2.32558139535
