Term,NumPostings
Hadoop,54.9618320611
Java,48.8549618321
Python,44.2748091603
Spark,43.5114503817
SQL,33.5877862595
Hive,25.9541984733
Pig,17.5572519084
HBase,16.7938931298
MapReduce,16.0305343511
NoSQL,16.0305343511
Scala,13.7404580153
R,12.9770992366
Cassandra,12.213740458
Perl,11.4503816794
Ruby,9.92366412214
Tableau,9.16030534351
JavaScript,7.63358778626
C++,6.10687022901
Excel,5.34351145038
Flume,3.0534351145
Matlab,3.0534351145
Oozie,2.29007633588
Mahout,2.29007633588
ZooKeeper,2.29007633588
SAS,1.52671755725
Shark,1.52671755725
MongoDB,1.52671755725
