Term,NumPostings
R,51.9313304721
Python,48.4978540773
Hadoop,34.3347639485
Java,33.4763948498
SQL,33.4763948498
Hive,19.7424892704
Spark,18.4549356223
Pig,16.7381974249
C++,16.7381974249
Matlab,14.5922746781
Scala,11.5879828326
SAS,11.5879828326
JavaScript,9.44206008584
Tableau,9.01287553648
NoSQL,9.01287553648
MapReduce,6.00858369099
HBase,5.15021459227
Perl,5.15021459227
SPSS,5.15021459227
Excel,4.72103004292
Mahout,4.29184549356
MongoDB,3.00429184549
Ruby,3.00429184549
D3,1.71673819742
Cassandra,1.71673819742
Shark,0.858369098712
Oozie,0.858369098712
Flume,0.858369098712
