Term,NumPostings
Python,50.0
Hadoop,50.0
R,50.0
SAS,50.0
Java,33.3333333333
Tableau,33.3333333333
Spark,33.3333333333
Perl,16.6666666667
SPSS,16.6666666667
HBase,16.6666666667
