Term,NumPostings
SQL,48.2142857143
Java,44.6428571429
Hadoop,39.2857142857
Python,30.3571428571
Hive,21.4285714286
R,21.4285714286
NoSQL,17.8571428571
Spark,17.8571428571
MongoDB,14.2857142857
Cassandra,12.5
Tableau,10.7142857143
Pig,10.7142857143
JavaScript,8.92857142857
Excel,8.92857142857
HBase,7.14285714286
MapReduce,7.14285714286
C++,5.35714285714
Ruby,5.35714285714
Matlab,5.35714285714
Mahout,3.57142857143
Oozie,3.57142857143
Scala,3.57142857143
SPSS,1.78571428571
Shark,1.78571428571
SAS,1.78571428571
