Term,NumPostings
SQL,39.5784543326
Excel,38.1733021077
R,12.1779859485
Tableau,10.5386416862
Python,8.66510538642
SAS,7.962529274
Java,6.55737704918
JavaScript,4.44964871194
Hadoop,4.44964871194
SPSS,4.44964871194
Spark,2.57611241218
Ruby,2.57611241218
Scala,2.34192037471
Hive,1.87353629977
Matlab,1.40515222482
Pig,1.17096018735
NoSQL,0.702576112412
MongoDB,0.702576112412
D3,0.702576112412
C++,0.468384074941
Perl,0.468384074941
MapReduce,0.468384074941
Cassandra,0.468384074941
D3.js,0.234192037471
